Moons Done,Moon Names,Abilities needed,,,,,,,Moons Done (excl. Toadette)
836 / 836,,Captures that work:,,Method 1,Method 2,Method 3,Method 4,Method 5,836 / 836
TRUE,Cap Kingdom: Frog-Jumping Above the Fog,Frog,Minimum Jump Height:,No Jump Needed,,,,,Cap Kingdom
,,,Cap Throws that work:,"Down Throw, Spin Throw, No Cap Throw Needed",,,,,31 / 31
,,,Other Required:,Capture,,,,,Cascade Kingdom
TRUE,Cap Kingdom: Frog-Jumping from the Top Deck,Frog,Minimum Jump Height:,No Jump Needed,,,,,40 / 40
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,Sand Kingdom
,,,Other Required:,Capture,,,,,89 / 89
TRUE,Cap Kingdom: Cap Kingdom Timer Challenge 1,,Minimum Jump Height:,No Jump Needed,,,,,Wooded Kingdom
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,76 / 76
,,,Other Required:,,,,,,Lake Kingdom
TRUE,"Cap Kingdom: Good Evening, Captain Toad!",,Minimum Jump Height:,Long Jump,,,,,42 / 42
,,,Cap Throws that work:,No Cap Throw Needed,,,,,Cloud Kingdom
,,,Other Required:,None,,,,,9 / 9
TRUE,Cap Kingdom: Shopping in Bonneton,,Minimum Jump Height:,No Jump Needed,,,,,Lost Kingdom
,,,Cap Throws that work:,No Cap Throw Needed,,,,,35 / 35
,,,Other Required:,None,,,,,Metro Kingdom
TRUE,Poison Tides: Skimming the Poison Tide,"Paragoomba, Glydon, Shiverian, Gushen, Pokio, Parabones, Dino",Minimum Jump Height:,,,,,,81 / 81
,,,Cap Throws that work:,"Neutral Throw, Down Throw, Up Throw, Spin Throw",,,,,Seaside Kingdom
,,,Other Required:,Capture,,,,,71 / 71
TRUE,Poison Tides: Slipping Through the Poison Tide,"Pokio, Parabones, Paragoomba, Gushen",Minimum Jump Height:,,,,,,Snow Kingdom
,,,Cap Throws that work:,"Neutral Throw, Down Throw, Up Throw, Spin Throw",,,,,55 / 55
,,,Other Required:,Capture,,,,,Luncheon Kingdom
TRUE,Push Block Peril: Push-Block Peril,Locked behind Default Capture,Minimum Jump Height:,Single Jump (258),,,,,68 / 68
,,,Cap Throws that work:,No Cap Throw Needed,,,,,Ruined Kingdom
,,,Other Required:,"Capture, Ledge Grab",,,,,10 / 10
TRUE,Push Block Peril: Hidden Among the Push-Blocks,Locked behind Default Capture,Minimum Jump Height:,Single Jump (258),,,,,Bowser's Kingdom
,,,Cap Throws that work:,No Cap Throw Needed,,,,,62 / 62
,,,Other Required:,Capture,,,,,Moon Kingdom
TRUE,Frog Pond: Searching the Frog Pond,Frog,Minimum Jump Height:,Backflip/Vault/Side Flip (496),No Jump Needed,Cap Return Jump (400),Triple Jump (550),,38 / 38
,,,Cap Throws that work:,"Spin Throw, Down Throw, Up Throw, Neutral Throw","Neutral Throw, Up Throw, Down Throw, Spin Throw","Neutral Throw, Up Throw, Down Throw, Spin Throw",No Cap Throw Needed,,Mushroom Kingdom
,,,Other Required:,Dive,Capture,"Wall Jump, Dive",Dive,,104 / 104
TRUE,Frog Pond: Secrets of the Frog Pond,Frog,Minimum Jump Height:,Backflip/Vault/Side Flip (496),No Jump Needed,,,,Dark Side
,,,Cap Throws that work:,Neutral Throw,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,24 / 24
,,,Other Required:,"Wall Jump, Dive",Capture,,,,Darker Side
TRUE,Cap Kingdom: The Forgotten Treasure,,Minimum Jump Height:,Double Jump (312),,,,,1 / 1
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Ground Pound,,,,,
TRUE,Cap Kingdom: Taxi Flying Through Bonneton,,Minimum Jump Height:,,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Capture,,,,,
TRUE,Cap Kingdom: Bonneter Blockade,"Paragoomba, Pokio",Minimum Jump Height:,,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Capture,,,,,
TRUE,Cap Kingdom: Cap Kingdom Regular Cup,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Cap Kingdom: Peach in the Cap Kingdom,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Cap Kingdom: Found with Cap Kingdom Art,"Uproot, Lakitu, Tank, Jizo",Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Ground Pound,,,,,
TRUE,Cap Kingdom: Next to Glasses Bridge,"Paragoomba, Frog",Minimum Jump Height:,Long Jump,No Jump Needed,,,,
,,,Cap Throws that work:,No Cap Throw Needed,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,None,Capture,,,,
TRUE,Cap Kingdom: Danger Sign,"Paragoomba, Parabones",Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Capture,,,,,
TRUE,Cap Kingdom: Under the Big One's Brim,,Minimum Jump Height:,Long Jump,No Jump Needed,,,,
,,,Cap Throws that work:,No Cap Throw Needed,No Cap Throw Needed,,,,
,,,Other Required:,None,Roll,,,,
TRUE,Cap Kingdom: Fly to the Edge of the Fog,"Paragoomba, Glydon, Gushen, Parabones",Minimum Jump Height:,No Jump Needed,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,Capture,,,,,
TRUE,"Cap Kingdom: Spin the Hat, Get a Prize",,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,Neutral Throw,,,,,
,,,Other Required:,None,,,,,
TRUE,Cap Kingdom: Hidden in a Sunken Hat,Paragoomba,Minimum Jump Height:,No Jump Needed,Long Jump,No Jump Needed,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw","Neutral Throw, Up Throw, Down Throw, Spin Throw",Neutral Throw,,,
,,,Other Required:,Capture,Dive,"Roll, Roll Boost",,,
TRUE,Cap Kingdom: Fog-Shrouded Platform,"Uproot, Tank, Lakitu, Jizo",Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,Ground Pound,,,,,
TRUE,Cap Kingdom: Bird Traveling in the Fog,Paragoomba,Minimum Jump Height:,Single Jump (258),No Jump Needed,,,,
,,,Cap Throws that work:,Neutral Throw,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,
,,,Other Required:,Dive,Capture,,,,
TRUE,Cap Kingdom: Caught Hopping Near the Ship!,,Minimum Jump Height:,Long Jump,No Jump Needed,,,,
,,,Cap Throws that work:,No Cap Throw Needed,No Cap Throw Needed,,,,
,,,Other Required:,None,Roll,,,,
TRUE,Cap Kingdom: Taking Notes: In the Fog,"Paragoomba, Gushen, Parabones",Minimum Jump Height:,Long Jump,No Jump Needed,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",No Cap Throw Needed,,,,
,,,Other Required:,Capture,Capture,,,,
TRUE,Cap Kingdom: Cap Kingdom Timer Challenge 2,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,"Neutral Throw, Up Throw, Down Throw, Spin Throw",,,,,
,,,Other Required:,None,,,,,
TRUE,Cap Kingdom: Cap Kingdom Master Cup,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,None,,,,,
TRUE,Precision Rolling: Roll On and On,,Minimum Jump Height:,Long Jump,,,,,"IF EXIT SPAWN - Moon is already spawned at exit, only short jump required"
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
,,,Other Required:,"Roll, None",,,,,
TRUE,Precision Rolling: Precision Rolling,,Minimum Jump Height:,Long Jump,,,,,
,,,Cap Throws that work:,No Cap Throw Needed,,,,,
